"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Life.nlogo"
"2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:21:55:061 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","initial-density","wrap?","[step]","count patches with [living?] / count patches"
"5","5","false","84","0.00235271051857661"
"1","5","false","73","0.00421527301244976"
"2","5","false","43","0.005293598666797373"
"6","5","false","74","0.002058621703754534"
"4","5","false","71","0.0017645328889324577"
"5","5","false","85","0.00235271051857661"
"1","5","false","74","0.00421527301244976"
"2","5","false","44","0.005293598666797373"
"6","5","false","75","0.002058621703754534"
"5","5","false","86","0.00235271051857661"
"4","5","false","72","0.0017645328889324577"
"1","5","false","75","0.00421527301244976"
"5","5","false","87","0.00235271051857661"
"4","5","false","73","0.0017645328889324577"
"6","5","false","76","0.002058621703754534"
"2","5","false","45","0.005293598666797373"
"1","5","false","76","0.00421527301244976"
"4","5","false","74","0.0017645328889324577"
"5","5","false","88","0.00235271051857661"
"6","5","false","77","0.002058621703754534"
"2","5","false","46","0.005293598666797373"
"4","5","false","75","0.0017645328889324577"
"5","5","false","89","0.00235271051857661"
"1","5","false","77","0.00421527301244976"
"6","5","false","78","0.002058621703754534"
"2","5","false","47","0.005293598666797373"
"4","5","false","76","0.0017645328889324577"
"1","5","false","78","0.00421527301244976"
"6","5","false","79","0.002058621703754534"
"2","5","false","48","0.005293598666797373"
"4","5","false","77","0.0017645328889324577"
"1","5","false","79","0.00421527301244976"
"6","5","false","80","0.002058621703754534"
"3","5","false","76","0.003921184197627684"
"4","5","false","78","0.0017645328889324577"
"1","5","false","80","0.00421527301244976"
"6","5","false","81","0.002058621703754534"
"3","5","false","77","0.003921184197627684"
"2","5","false","49","0.005293598666797373"
"4","5","false","79","0.0017645328889324577"
"1","5","false","81","0.00421527301244976"
"6","5","false","82","0.002058621703754534"
"3","5","false","78","0.003921184197627684"
"4","5","false","80","0.0017645328889324577"
"2","5","false","50","0.005293598666797373"
"1","5","false","82","0.00421527301244976"
"6","5","false","83","0.002058621703754534"
"3","5","false","79","0.003921184197627684"
"4","5","false","81","0.0017645328889324577"
"1","5","false","83","0.00421527301244976"
"6","5","false","84","0.002058621703754534"
"3","5","false","80","0.003921184197627684"
"2","5","false","51","0.005293598666797373"
"4","5","false","82","0.0017645328889324577"
"6","5","false","85","0.002058621703754534"
"1","5","false","84","0.00421527301244976"
"3","5","false","81","0.003921184197627684"
"2","5","false","52","0.005293598666797373"
"4","5","false","83","0.0017645328889324577"
"6","5","false","86","0.002058621703754534"
"1","5","false","85","0.00421527301244976"
"3","5","false","82","0.003921184197627684"
"2","5","false","53","0.005293598666797373"
"6","5","false","87","0.002058621703754534"
"4","5","false","84","0.0017645328889324577"
"1","5","false","86","0.00421527301244976"
"3","5","false","83","0.003921184197627684"
"6","5","false","88","0.002058621703754534"
"2","5","false","54","0.005293598666797373"
"4","5","false","85","0.0017645328889324577"
"1","5","false","87","0.00421527301244976"
"3","5","false","84","0.003921184197627684"
"6","5","false","89","0.002058621703754534"
"2","5","false","55","0.005293598666797373"
"3","5","false","85","0.003921184197627684"
"1","5","false","88","0.00421527301244976"
"4","5","false","86","0.0017645328889324577"
"6","5","false","90","0.002058621703754534"
"3","5","false","86","0.003921184197627684"
"2","5","false","56","0.005293598666797373"
"1","5","false","89","0.00421527301244976"
"5","5","false","90","0.00235271051857661"
"4","5","false","87","0.0017645328889324577"
"6","5","false","91","0.002058621703754534"
"3","5","false","87","0.003921184197627684"
"1","5","false","90","0.00421527301244976"
"2","5","false","57","0.005293598666797373"
"3","5","false","88","0.003921184197627684"
"6","5","false","92","0.002058621703754534"
"5","5","false","91","0.00235271051857661"
"4","5","false","88","0.0017645328889324577"
"1","5","false","91","0.00421527301244976"
"6","5","false","93","0.002058621703754534"
"2","5","false","58","0.005293598666797373"
"3","5","false","89","0.003921184197627684"
"5","5","false","92","0.00235271051857661"
