"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:17:34:557 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"run","initial-density","wrap","update-1d","step","density"
"5","5","false","false","32","0.004710179755839662"
"2","5","false","false","48","0.020282610785350378"
"4","5","false","false","48","0.004614053638373546"
"6","5","false","false","51","0.007882341632221474"
"3","5","false","false","41","0.005863693165433048"
"1","5","false","false","38","0.002499279054119004"
"5","5","false","false","33","0.004710179755839662"
"2","5","false","false","49","0.021147745842545418"
"6","5","false","false","52","0.00797846774968759"
"4","5","false","false","49","0.004614053638373546"
"5","5","false","false","34","0.004710179755839662"
"3","5","false","false","42","0.00624819763529751"
"2","5","false","false","50","0.022974142074401616"
"6","5","false","false","53","0.008362972219552052"
"4","5","false","false","50","0.004614053638373546"
"1","5","false","false","39","0.002499279054119004"
"5","5","false","false","35","0.004710179755839662"
"2","5","false","false","51","0.023743151014130538"
"4","5","false","false","51","0.004614053638373546"
"3","5","false","false","43","0.005671440930500817"
"6","5","false","false","54","0.007882341632221474"
"2","5","false","false","52","0.021916754782274343"
"6","5","false","false","55","0.008555224454484284"
"4","5","false","false","52","0.004614053638373546"
"1","5","false","false","40","0.002499279054119004"
"5","5","false","false","36","0.004710179755839662"
"6","5","false","false","56","0.008459098337018169"
"2","5","false","false","53","0.021051619725079303"
"3","5","false","false","44","0.006055945400365279"
"4","5","false","false","53","0.004614053638373546"
"6","5","false","false","57","0.00797846774968759"
"1","5","false","false","41","0.002499279054119004"
"5","5","false","false","37","0.004710179755839662"
"4","5","false","false","54","0.004614053638373546"
"3","5","false","false","45","0.005767567047966933"
"2","5","false","false","54","0.024319907718927232"
"6","5","false","false","58","0.008170719984619821"
"4","5","false","false","55","0.004614053638373546"
"1","5","false","false","42","0.002499279054119004"
"5","5","false","false","38","0.004710179755839662"
"2","5","false","false","55","0.022781889839469383"
"3","5","false","false","46","0.005767567047966933"
"4","5","false","false","56","0.004614053638373546"
"1","5","false","false","43","0.002499279054119004"
"6","5","false","false","59","0.008459098337018169"
"5","5","false","false","39","0.004710179755839662"
"3","5","false","false","47","0.0052869364606363545"
"2","5","false","false","56","0.02499279054119004"
"1","5","false","false","44","0.002499279054119004"
"6","5","false","false","60","0.008651350571950399"
"4","5","false","false","57","0.004614053638373546"
"5","5","false","false","40","0.004710179755839662"
"3","5","false","false","48","0.005863693165433048"
"2","5","false","false","57","0.023454772661732192"
"6","5","false","false","61","0.009228107276747092"
"1","5","false","false","45","0.002499279054119004"
"4","5","false","false","58","0.004614053638373546"
"5","5","false","false","41","0.004710179755839662"
"6","5","false","false","62","0.008651350571950399"
"4","5","false","false","59","0.004614053638373546"
"5","5","false","false","42","0.004710179755839662"
"2","5","false","false","58","0.020186484667884263"
"3","5","false","false","49","0.0052869364606363545"
"1","5","false","false","46","0.002499279054119004"
"6","5","false","false","63","0.00884360280688263"
"4","5","false","false","60","0.004614053638373546"
"3","5","false","false","50","0.0053830625781024705"
"5","5","false","false","43","0.004710179755839662"
"2","5","false","false","59","0.018648466788426417"
"6","5","false","false","64","0.00884360280688263"
"4","5","false","false","61","0.004614053638373546"
"1","5","false","false","47","0.002499279054119004"
"5","5","false","false","44","0.004710179755839662"
"3","5","false","false","51","0.005094684225704124"
"2","5","false","false","60","0.018167836201095838"
"6","5","false","false","65","0.009900990099009901"
"4","5","false","false","62","0.004614053638373546"
"1","5","false","false","48","0.002499279054119004"
"2","5","false","false","61","0.017302701143900798"
"3","5","false","false","52","0.004998558108238008"
"5","5","false","false","45","0.004710179755839662"
"6","5","false","false","66","0.009708737864077669"
"4","5","false","false","63","0.004614053638373546"
"1","5","false","false","49","0.002499279054119004"
"3","5","false","false","53","0.005959819282899164"
"5","5","false","false","46","0.004710179755839662"
"2","5","false","false","62","0.018360088436028068"
"6","5","false","false","67","0.009997116216476016"
"4","5","false","false","64","0.004614053638373546"
"1","5","false","false","50","0.002499279054119004"
"3","5","false","false","54","0.0052869364606363545"
"2","5","false","false","63","0.017783331731231377"
"4","5","false","false","65","0.004614053638373546"
"6","5","false","false","68","0.009708737864077669"
"1","5","false","false","51","0.002499279054119004"
"3","5","false","false","55","0.005479188695568586"
"2","5","false","false","64","0.017302701143900798"
"5","5","false","false","47","0.004710179755839662"
"4","5","false","false","66","0.004614053638373546"
"6","5","false","false","69","0.009900990099009901"
"3","5","false","false","56","0.004614053638373546"
"5","5","false","false","48","0.004710179755839662"
"2","5","false","false","65","0.017398827261366913"
"1","5","false","false","52","0.002499279054119004"
"4","5","false","false","67","0.004614053638373546"
"6","5","false","false","70","0.010189368451408248"
"3","5","false","false","57","0.004133423051042968"
"5","5","false","false","49","0.004710179755839662"
"4","5","false","false","68","0.004614053638373546"
"1","5","false","false","53","0.002499279054119004"
"6","5","false","false","71","0.010381620686340479"
"3","5","false","false","58","0.004325675285975199"
"2","5","false","false","66","0.015476304912044603"
"5","5","false","false","50","0.004710179755839662"
"4","5","false","false","69","0.004614053638373546"
"3","5","false","false","59","0.004614053638373546"
"6","5","false","false","72","0.012304143035662789"
"2","5","false","false","67","0.01595693549937518"
"4","5","false","false","70","0.004614053638373546"
"1","5","false","false","54","0.002499279054119004"
"5","5","false","false","51","0.004710179755839662"
"3","5","false","false","60","0.004421801403441315"
"6","5","false","false","73","0.009900990099009901"
"2","5","false","false","68","0.016245313851773528"
"5","5","false","false","52","0.004710179755839662"
"3","5","false","false","61","0.004806305873305777"
"1","5","false","false","55","0.002499279054119004"
"4","5","false","false","71","0.004614053638373546"
"2","5","false","false","69","0.016149187734307412"
"5","5","false","false","53","0.004710179755839662"
"6","5","false","false","74","0.011919638565798328"
"3","5","false","false","62","0.004614053638373546"
"1","5","false","false","56","0.002499279054119004"
"2","5","false","false","70","0.018648466788426417"
"6","5","false","false","75","0.010477746803806594"
"4","5","false","false","72","0.004614053638373546"
"3","5","false","false","63","0.004998558108238008"
"5","5","false","false","54","0.004710179755839662"
"1","5","false","false","57","0.002499279054119004"
"6","5","false","false","76","0.010669999038738826"
"3","5","false","false","64","0.004517927520907431"
"5","5","false","false","55","0.004710179755839662"
"4","5","false","false","73","0.004614053638373546"
"1","5","false","false","58","0.002499279054119004"
"2","5","false","false","71","0.015572431029510718"
"6","5","false","false","77","0.010381620686340479"
"5","5","false","false","56","0.004710179755839662"
"4","5","false","false","74","0.004614053638373546"
"1","5","false","false","59","0.002499279054119004"
"2","5","false","false","72","0.014995674324714025"
"4","5","false","false","75","0.004614053638373546"
"5","5","false","false","57","0.004710179755839662"
"1","5","false","false","60","0.002499279054119004"
"2","5","false","false","73","0.015187926559646256"
"4","5","false","false","76","0.004614053638373546"
"5","5","false","false","58","0.004710179755839662"
"1","5","false","false","61","0.002499279054119004"
"2","5","false","false","74","0.014322791502451216"
"5","5","false","false","59","0.004710179755839662"
"4","5","false","false","77","0.004614053638373546"
"1","5","false","false","62","0.002499279054119004"
"2","5","false","false","75","0.0142266653849851"
"5","5","false","false","60","0.004710179755839662"
"4","5","false","false","78","0.004614053638373546"
"1","5","false","false","63","0.002499279054119004"
"2","5","false","false","76","0.013746034797654523"
"5","5","false","false","61","0.004710179755839662"
"4","5","false","false","79","0.004614053638373546"
"2","5","false","false","77","0.014515043737383448"
"1","5","false","false","64","0.002499279054119004"
"5","5","false","false","62","0.004710179755839662"
"4","5","false","false","80","0.004614053638373546"
"2","5","false","false","78","0.014707295972315678"
"1","5","false","false","65","0.002499279054119004"
"5","5","false","false","63","0.004710179755839662"
"4","5","false","false","81","0.004614053638373546"
"2","5","false","false","79","0.015764683264442948"
"1","5","false","false","66","0.002499279054119004"
"5","5","false","false","64","0.004710179755839662"
"4","5","false","false","82","0.004614053638373546"
"2","5","false","false","80","0.015187926559646256"
"6","5","false","false","78","0.011727386330866096"
"3","5","false","false","65","0.004806305873305777"
"1","5","false","false","67","0.002499279054119004"
"5","5","false","false","65","0.004710179755839662"
"2","5","false","false","81","0.014707295972315678"
"4","5","false","false","83","0.004614053638373546"
"6","5","false","false","79","0.010669999038738826"
"3","5","false","false","66","0.004806305873305777"
"1","5","false","false","68","0.002499279054119004"
"2","5","false","false","82","0.01509180044218014"
"4","5","false","false","84","0.004614053638373546"
"5","5","false","false","66","0.004710179755839662"
"6","5","false","false","80","0.011342881861001634"
"3","5","false","false","67","0.0052869364606363545"
"1","5","false","false","69","0.002499279054119004"
"2","5","false","false","83","0.014515043737383448"
"4","5","false","false","85","0.004614053638373546"
"5","5","false","false","67","0.004710179755839662"
"6","5","false","false","81","0.010862251273671056"
"3","5","false","false","68","0.005575314813034702"
"1","5","false","false","70","0.002499279054119004"
"2","5","false","false","84","0.015764683264442948"
"5","5","false","false","68","0.004710179755839662"
"4","5","false","false","86","0.004614053638373546"
"6","5","false","false","82","0.010573872921272709"
"3","5","false","false","69","0.00624819763529751"
"1","5","false","false","71","0.002499279054119004"
"2","5","false","false","85","0.015764683264442948"
"3","5","false","false","70","0.006152071517831394"
"5","5","false","false","69","0.004710179755839662"
"4","5","false","false","87","0.004614053638373546"
"6","5","false","false","83","0.010381620686340479"
"1","5","false","false","72","0.002499279054119004"
"2","5","false","false","86","0.016629818321637988"
"5","5","false","false","70","0.004710179755839662"
"4","5","false","false","88","0.004614053638373546"
"3","5","false","false","71","0.0063443237527636255"
"6","5","false","false","84","0.010669999038738826"
"1","5","false","false","73","0.002499279054119004"
"2","5","false","false","87","0.016245313851773528"
"5","5","false","false","71","0.004710179755839662"
"4","5","false","false","89","0.004614053638373546"
"3","5","false","false","72","0.006152071517831394"
"6","5","false","false","85","0.010573872921272709"
"5","5","false","false","72","0.004710179755839662"
"4","5","false","false","90","0.004614053638373546"
"2","5","false","false","88","0.016245313851773528"
"1","5","false","false","74","0.002499279054119004"
"3","5","false","false","73","0.006921080457560319"
"5","5","false","false","73","0.004710179755839662"
"4","5","false","false","91","0.004614053638373546"
"2","5","false","false","89","0.016149187734307412"
"6","5","false","false","86","0.010958377391137171"
"3","5","false","false","74","0.006824954340094204"
"1","5","false","false","75","0.002499279054119004"
"2","5","false","false","90","0.017014322791502452"
"4","5","false","false","92","0.004614053638373546"
"5","5","false","false","74","0.004710179755839662"
"3","5","false","false","75","0.006921080457560319"
"6","5","false","false","87","0.011246755743535519"
"2","5","false","false","91","0.017783331731231377"
"5","5","false","false","75","0.004710179755839662"
"4","5","false","false","93","0.004614053638373546"
"1","5","false","false","76","0.002499279054119004"
"6","5","false","false","88","0.010862251273671056"
"2","5","false","false","92","0.017975583966163607"
"5","5","false","false","76","0.004710179755839662"
"3","5","false","false","76","0.005863693165433048"
"4","5","false","false","94","0.004614053638373546"
"1","5","false","false","77","0.002499279054119004"
"2","5","false","false","93","0.016629818321637988"
"6","5","false","false","89","0.011246755743535519"
"3","5","false","false","77","0.005959819282899164"
"4","5","false","false","95","0.004614053638373546"
"1","5","false","false","78","0.002499279054119004"
"5","5","false","false","77","0.004710179755839662"
"6","5","false","false","90","0.010573872921272709"
"2","5","false","false","94","0.017110448908968567"
"3","5","false","false","78","0.005767567047966933"
"4","5","false","false","96","0.004614053638373546"
"1","5","false","false","79","0.002499279054119004"
"5","5","false","false","78","0.004710179755839662"
"3","5","false","false","79","0.0053830625781024705"
"4","5","false","false","97","0.004614053638373546"
"6","5","false","false","91","0.010381620686340479"
"1","5","false","false","80","0.002499279054119004"
"2","5","false","false","95","0.017591079496299143"
"5","5","false","false","79","0.004710179755839662"
"3","5","false","false","80","0.005190810343170239"
"4","5","false","false","98","0.004614053638373546"
"6","5","false","false","92","0.010862251273671056"
"4","5","false","false","99","0.004614053638373546"
"2","5","false","false","96","0.018360088436028068"
"1","5","false","false","81","0.002499279054119004"
"3","5","false","false","81","0.005767567047966933"
"6","5","false","false","93","0.010766125156204941"
"5","5","false","false","80","0.004710179755839662"
"4","5","false","false","100","0.004614053638373546"
"6","5","false","false","94","0.012880899740459483"
"2","5","false","false","97","0.018071710083629722"
"3","5","false","false","82","0.005959819282899164"
"1","5","false","false","82","0.002499279054119004"
"5","5","false","false","81","0.004710179755839662"
"6","5","false","false","95","0.011631260213399981"
"4","5","false","false","101","0.004614053638373546"
"2","5","false","false","98","0.019513601845621457"
"1","5","false","false","83","0.002499279054119004"
"3","5","false","false","83","0.005671440930500817"
"5","5","false","false","82","0.004710179755839662"
"2","5","false","false","99","0.020090358550418148"
"4","5","false","false","102","0.004614053638373546"
"6","5","false","false","96","0.012977025857925598"
"1","5","false","false","84","0.002499279054119004"
"3","5","false","false","84","0.005863693165433048"
"5","5","false","false","83","0.004710179755839662"
"2","5","false","false","100","0.022301259252138807"
"4","5","false","false","103","0.004614053638373546"
"6","5","false","false","97","0.011727386330866096"
"1","5","false","false","85","0.002499279054119004"
"2","5","false","false","101","0.022781889839469383"
"3","5","false","false","85","0.004325675285975199"
"5","5","false","false","84","0.004710179755839662"
"6","5","false","false","98","0.011342881861001634"
"4","5","false","false","104","0.004614053638373546"
"2","5","false","false","102","0.020378736902816497"
"5","5","false","false","85","0.004710179755839662"
"3","5","false","false","86","0.004710179755839662"
"6","5","false","false","99","0.010573872921272709"
"2","5","false","false","103","0.022109007017206576"
"4","5","false","false","105","0.004614053638373546"
"1","5","false","false","86","0.002499279054119004"
"3","5","false","false","87","0.004614053638373546"
"6","5","false","false","100","0.010766125156204941"
"5","5","false","false","86","0.004710179755839662"
"2","5","false","false","104","0.020955493607613188"
"4","5","false","false","106","0.004614053638373546"
"6","5","false","false","101","0.011054503508603288"
"1","5","false","false","87","0.002499279054119004"
"5","5","false","false","87","0.004710179755839662"
"4","5","false","false","107","0.004614053638373546"
"3","5","false","false","88","0.004710179755839662"
"2","5","false","false","105","0.022493511487071037"
"5","5","false","false","88","0.004710179755839662"
"1","5","false","false","88","0.002499279054119004"
"4","5","false","false","108","0.004614053638373546"
"6","5","false","false","102","0.011727386330866096"
"3","5","false","false","89","0.004710179755839662"
"2","5","false","false","106","0.021436124194943767"
"5","5","false","false","89","0.004710179755839662"
"6","5","false","false","103","0.010285494568874363"
"1","5","false","false","89","0.002499279054119004"
"4","5","false","false","109","0.004614053638373546"
"2","5","false","false","107","0.02220513313467269"
"3","5","false","false","90","0.004229549168509084"
"6","5","false","false","104","0.012111890800730558"
"5","5","false","false","90","0.004710179755839662"
"3","5","false","false","91","0.004421801403441315"
"4","5","false","false","110","0.004614053638373546"
"2","5","false","false","108","0.021724502547342112"
"1","5","false","false","90","0.002499279054119004"
"5","5","false","false","91","0.004710179755839662"
"3","5","false","false","92","0.004325675285975199"
"6","5","false","false","105","0.010766125156204941"
"2","5","false","false","109","0.023454772661732192"
"4","5","false","false","111","0.004614053638373546"
"6","5","false","false","106","0.012015764683264443"
"1","5","false","false","91","0.002499279054119004"
"5","5","false","false","92","0.004710179755839662"
"3","5","false","false","93","0.004421801403441315"
"4","5","false","false","112","0.004614053638373546"
"2","5","false","false","110","0.023166394309333847"
"6","5","false","false","107","0.011342881861001634"
"1","5","false","false","92","0.002499279054119004"
"5","5","false","false","93","0.004710179755839662"
"3","5","false","false","94","0.004998558108238008"
"4","5","false","false","113","0.004614053638373546"
"6","5","false","false","108","0.01316927809285783"
"1","5","false","false","93","0.002499279054119004"
"3","5","false","false","95","0.004517927520907431"
"5","5","false","false","94","0.004710179755839662"
"4","5","false","false","114","0.004614053638373546"
"2","5","false","false","111","0.022397385369604922"
"6","5","false","false","109","0.011342881861001634"
"3","5","false","false","96","0.005190810343170239"
"4","5","false","false","115","0.004614053638373546"
"2","5","false","false","112","0.024223781601461117"
"1","5","false","false","94","0.002499279054119004"
"5","5","false","false","95","0.004710179755839662"
"6","5","false","false","110","0.011535134095933866"
"3","5","false","false","97","0.004325675285975199"
"2","5","false","false","113","0.023454772661732192"
"1","5","false","false","95","0.002499279054119004"
"5","5","false","false","96","0.004710179755839662"
"6","5","false","false","111","0.012015764683264443"
"4","5","false","false","116","0.004614053638373546"
"2","5","false","false","114","0.024319907718927232"
