"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-Life.nlogo"
"1DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:08:49:746 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","10200","0","0"
"[run number]","initial-density","wrap?","lambda","[step]","count patches with [living?] / count patches"
"3","5","true","50","116","0.002450740123517302"
"3","5","true","50","117","0.002450740123517302"
"3","5","true","50","118","0.002450740123517302"
"3","5","true","50","119","0.002450740123517302"
"3","5","true","50","120","0.002450740123517302"
"3","5","true","50","121","0.002450740123517302"
"3","5","true","50","122","0.002450740123517302"
"3","5","true","50","123","0.002450740123517302"
"3","5","true","50","124","0.002450740123517302"
"3","5","true","50","125","0.002450740123517302"
"3","5","true","50","126","0.002450740123517302"
"3","5","true","50","127","0.002450740123517302"
"3","5","true","50","128","0.002450740123517302"
"3","5","true","50","129","0.002450740123517302"
"3","5","true","50","130","0.002450740123517302"
"3","5","true","50","131","0.002450740123517302"
"3","5","true","50","132","0.002450740123517302"
"3","5","true","50","133","0.002450740123517302"
"3","5","true","50","134","0.002450740123517302"
"3","5","true","50","135","0.002450740123517302"
"3","5","true","50","136","0.002450740123517302"
"3","5","true","50","137","0.002450740123517302"
"3","5","true","50","138","0.002450740123517302"
"3","5","true","50","139","0.002450740123517302"
"3","5","true","50","140","0.002450740123517302"
"3","5","true","50","141","0.002450740123517302"
"3","5","true","50","142","0.002450740123517302"
"3","5","true","50","143","0.002450740123517302"
"3","5","true","50","144","0.002450740123517302"
"3","5","true","50","145","0.002450740123517302"
"3","5","true","50","146","0.002450740123517302"
"3","5","true","50","147","0.002450740123517302"
"3","5","true","50","148","0.002450740123517302"
"3","5","true","50","149","0.002450740123517302"
"3","5","true","50","150","0.002450740123517302"
"3","5","true","50","151","0.002450740123517302"
"3","5","true","50","152","0.002450740123517302"
"3","5","true","50","153","0.002450740123517302"
"3","5","true","50","154","0.002450740123517302"
"3","5","true","50","155","0.002450740123517302"
"3","5","true","50","156","0.002450740123517302"
"3","5","true","50","157","0.002450740123517302"
"3","5","true","50","158","0.002450740123517302"
"3","5","true","50","159","0.002450740123517302"
"3","5","true","50","160","0.002450740123517302"
"3","5","true","50","161","0.002450740123517302"
"3","5","true","50","162","0.002450740123517302"
"3","5","true","50","163","0.002450740123517302"
"3","5","true","50","164","0.002450740123517302"
"3","5","true","50","165","0.002450740123517302"
"3","5","true","50","166","0.002450740123517302"
