"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:26:57:414 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"[run number]","initial-density","wrap?","update-1d?","[step]","count patches with [living?] / count patches"
"6","5","true","false","54","0.004037296933576853"
"5","5","true","false","44","0.004421801403441315"
"1","5","true","false","44","0.006536575987695857"
"3","5","true","false","38","0.003845044698644622"
"6","5","true","false","55","0.004037296933576853"
"5","5","true","false","45","0.004421801403441315"
"2","5","true","false","34","0.008459098337018169"
"4","5","true","false","43","0.01441891761991733"
"1","5","true","false","45","0.007017206575026435"
"3","5","true","false","39","0.003845044698644622"
"1","5","true","false","46","0.006728828222628088"
"2","5","true","false","35","0.008555224454484284"
"6","5","true","false","56","0.004037296933576853"
"5","5","true","false","46","0.004037296933576853"
"3","5","true","false","40","0.003845044698644622"
"4","5","true","false","44","0.01509180044218014"
"1","5","true","false","47","0.007786215514755359"
"2","5","true","false","36","0.008747476689416514"
"6","5","true","false","57","0.004037296933576853"
"5","5","true","false","47","0.0037489185811785063"
"3","5","true","false","41","0.003845044698644622"
"4","5","true","false","45","0.016918196674036337"
"1","5","true","false","48","0.0073055849274247815"
"6","5","true","false","58","0.004037296933576853"
"4","5","true","false","46","0.015764683264442948"
"5","5","true","false","48","0.003556666346246275"
"1","5","true","false","49","0.007209458809958665"
"3","5","true","false","42","0.003845044698644622"
"2","5","true","false","37","0.009228107276747092"
"6","5","true","false","59","0.004037296933576853"
"5","5","true","false","49","0.003556666346246275"
"3","5","true","false","43","0.003845044698644622"
"4","5","true","false","47","0.016725944439104103"
"1","5","true","false","50","0.008074593867153706"
"2","5","true","false","38","0.008555224454484284"
"5","5","true","false","50","0.003556666346246275"
"4","5","true","false","48","0.015476304912044603"
"6","5","true","false","60","0.004037296933576853"
"3","5","true","false","44","0.003845044698644622"
"1","5","true","false","51","0.008362972219552052"
"5","5","true","false","51","0.003556666346246275"
"4","5","true","false","49","0.017398827261366913"
"2","5","true","false","39","0.009228107276747092"
"6","5","true","false","61","0.004037296933576853"
"3","5","true","false","45","0.003845044698644622"
"1","5","true","false","52","0.009900990099009901"
"5","5","true","false","52","0.003556666346246275"
"4","5","true","false","50","0.015476304912044603"
"3","5","true","false","46","0.003845044698644622"
"2","5","true","false","40","0.009708737864077669"
"6","5","true","false","62","0.004037296933576853"
"5","5","true","false","53","0.003556666346246275"
"1","5","true","false","53","0.008074593867153706"
"4","5","true","false","51","0.017879457848697492"
"3","5","true","false","47","0.003845044698644622"
"2","5","true","false","41","0.010573872921272709"
"6","5","true","false","63","0.004037296933576853"
"4","5","true","false","52","0.01509180044218014"
"3","5","true","false","48","0.003845044698644622"
"5","5","true","false","54","0.003556666346246275"
"1","5","true","false","54","0.009516485629145439"
"2","5","true","false","42","0.009804863981543786"
"4","5","true","false","53","0.015476304912044603"
"6","5","true","false","64","0.004037296933576853"
"3","5","true","false","49","0.003845044698644622"
"5","5","true","false","55","0.003556666346246275"
"1","5","true","false","55","0.008555224454484284"
"6","5","true","false","65","0.004037296933576853"
"2","5","true","false","43","0.011246755743535519"
"4","5","true","false","54","0.01489954820724791"
"3","5","true","false","50","0.003845044698644622"
